dataset,group,runtime_full_ms,runtime_none_ms,runtime_only_group_ms,runtime_no_group_ms,marginal_benefit_pct,exclusive_benefit_pct
mushrooms,G1,22490.67,58252.33,25198.00,42332.33,88.22,56.74
mushrooms,G2,22490.67,58252.33,42972.00,23940.00,6.44,26.23
mushrooms,G3,22490.67,58252.33,53784.00,24831.67,10.41,7.67
mushrooms,G4,22490.67,58252.33,53641.33,24510.33,8.98,7.92
