dataset,k,algorithm,rep,runtime_ms,peak_heap_bytes,candidates_explored,closure_checks,support_calculations,max_queue_size,topk_count
liquor_11frequent,1000,V2_DFS_Full,0,18697,536245912,1949,1808,0,1792,1000
liquor_11frequent,1000,V2_DFS_Full,1,18789,505124400,1949,1808,0,1792,1000
liquor_11frequent,1000,V2_DFS_Full,2,18553,607980720,1949,1808,0,1792,1000
liquor_11frequent,1000,V3_BFS_Search,0,18832,586637792,553,1635,78909,0,1000
liquor_11frequent,1000,V3_BFS_Search,1,18652,460574864,553,1635,78909,0,1000
liquor_11frequent,1000,V3_BFS_Search,2,18801,621148360,553,1635,78909,0,1000
liquor_11frequent,1000,V4_DFS_Search,0,19011,638059848,1949,1808,93712,1792,1000
liquor_11frequent,1000,V4_DFS_Search,1,18966,471935592,1949,1808,93712,1792,1000
liquor_11frequent,1000,V4_DFS_Search,2,19366,528942704,1949,1808,93712,1792,1000
liquor_11frequent,1000,TopKPFIM,0,52035,97619352,5114,3000,1192373,3000,1000
liquor_11frequent,1000,TopKPFIM,1,52020,64083600,5114,3000,1192373,3000,1000
liquor_11frequent,1000,TopKPFIM,2,52542,128877320,5114,3000,1192373,3000,1000
liquor_11frequent,1000,ITUFP,0,17595,88697872,22,3000,153971,2,1000
liquor_11frequent,1000,ITUFP,1,17423,87873552,22,3000,153971,2,1000
liquor_11frequent,1000,ITUFP,2,17426,88423720,22,3000,153971,2,1000
