dataset,k,config,rep,runtime_ms,candidates_explored,closure_checks
processed_data/liquor_11frequent_uncertain.txt,900,FULL,1,15966,482,1564
processed_data/liquor_11frequent_uncertain.txt,900,FULL,2,15047,482,1564
processed_data/liquor_11frequent_uncertain.txt,900,NO_G1_frontier,0,37635,1955,5981
processed_data/liquor_11frequent_uncertain.txt,900,NO_G1_frontier,1,37303,1955,5981
processed_data/liquor_11frequent_uncertain.txt,900,NO_G1_frontier,2,37586,1955,5981
processed_data/liquor_11frequent_uncertain.txt,900,NO_G2_item,0,17131,482,1564
processed_data/liquor_11frequent_uncertain.txt,900,NO_G2_item,1,17091,482,1564
processed_data/liquor_11frequent_uncertain.txt,900,NO_G2_item,2,16633,482,1564
processed_data/liquor_11frequent_uncertain.txt,900,NO_G3_upbound,0,17878,482,1564
processed_data/liquor_11frequent_uncertain.txt,900,NO_G3_upbound,1,17241,482,1564
processed_data/liquor_11frequent_uncertain.txt,900,NO_G3_upbound,2,16836,482,1564
processed_data/liquor_11frequent_uncertain.txt,900,NO_G4_tidset,0,16374,482,1564
processed_data/liquor_11frequent_uncertain.txt,900,NO_G4_tidset,1,16114,482,1564
processed_data/liquor_11frequent_uncertain.txt,900,NO_G4_tidset,2,16011,482,1564
processed_data/liquor_11frequent_uncertain.txt,900,ONLY_G1,0,20092,482,1564
processed_data/liquor_11frequent_uncertain.txt,900,ONLY_G1,1,19740,482,1564
processed_data/liquor_11frequent_uncertain.txt,900,ONLY_G1,2,20351,482,1564
processed_data/liquor_11frequent_uncertain.txt,900,ONLY_G2_G3_G4,0,37746,1955,5981
processed_data/liquor_11frequent_uncertain.txt,900,ONLY_G2_G3_G4,1,37081,1955,5981
processed_data/liquor_11frequent_uncertain.txt,900,ONLY_G2_G3_G4,2,37174,1955,5981
processed_data/liquor_11frequent_uncertain.txt,1000,FULL,0,17224,553,1635
processed_data/liquor_11frequent_uncertain.txt,1000,FULL,1,17007,553,1635
processed_data/liquor_11frequent_uncertain.txt,1000,FULL,2,16664,553,1635
processed_data/liquor_11frequent_uncertain.txt,1000,NO_G1_frontier,0,38928,1995,6021
processed_data/liquor_11frequent_uncertain.txt,1000,NO_G1_frontier,1,38782,1995,6021
processed_data/liquor_11frequent_uncertain.txt,1000,NO_G1_frontier,2,74943,1995,6021
processed_data/liquor_11frequent_uncertain.txt,1000,NO_G2_item,0,52207,553,1635
